TIMESTAMP,RECORD,AirTC_Avg,RH,T107_C,T107_C_2,WP_kPa,WP_kPa_2,VW_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrkW_Avg,SlrMJ_Tot,NR_Wm2_Avg,CNR_Wm2_Avg,Rain_mm_Tot,BP_mbar_Avg
2016-07-19,9887.5,25.79,62.799,-98.37200000000001,-106.265,-3.694,-3.6910000000000003,,0.5539999999999999,114.781,43.232,0.281,2.528,171.06400000000002,171.06400000000002,0.0,1009.948
2016-07-20,9983.5,23.803,69.27199999999999,-98.258,-106.689,-3.6910000000000003,-3.698,,1.329,210.454,31.296999999999997,0.226,2.033,124.404,124.434,0.025,1001.8539999999999
2016-07-21,10079.5,19.867,71.512,-99.226,-114.337,,-3.717,,1.0270000000000001,261.123,47.211999999999996,0.204,1.8330000000000002,116.09,116.09,0.0,1008.812
2016-07-22,10175.5,20.881999999999998,75.411,-98.361,-114.991,-3.707,-3.702,,0.39899999999999997,174.832,61.553000000000004,0.182,1.642,109.125,109.125,0.002,1011.7080000000001
2016-07-23,10271.5,21.523000000000003,72.893,-97.471,-114.23200000000001,-3.694,-3.697,,0.91,269.702,42.81,0.22699999999999998,2.042,131.781,131.781,0.0,1012.885
2016-07-24,10367.5,20.088,76.805,-97.89299999999999,-116.374,-3.6710000000000003,-3.679,,0.745,229.91400000000002,65.023,0.156,1.4040000000000001,85.10700000000001,85.10700000000001,0.0,1010.562
2016-07-25,10463.5,17.289,75.743,-99.191,-114.47200000000001,,,,1.305,265.843,43.629,0.168,1.51,84.77,84.771,0.002,1011.4580000000001
2016-07-26,10559.5,17.687,76.816,-99.34200000000001,-110.81200000000001,,,,0.748,229.986,67.905,0.149,1.338,76.992,76.992,0.0,1012.625
2016-07-27,10655.5,18.391,76.219,-99.65100000000001,-124.035,,,,1.617,266.156,47.92,0.20800000000000002,1.8719999999999999,117.971,117.994,0.008,1007.6669999999999
2016-07-28,10751.5,16.757,79.89,-100.198,-124.63799999999999,,,,0.6759999999999999,221.709,59.836000000000006,0.13699999999999998,1.229,57.843,57.843,0.017,1006.1460000000001
